name,,,
Art,,,
Asphalt,,,
Automobile,,,
Blizzard,,,
Bridge,,,
Building,,,
Bus,,,
Canal,,,
Car,,,
Chair,,,
Cone,,,
Crowd,,,
Dirt Road,,,
Floor,,,
Flora,,,
Flower,,,
Fog,,,
Furniture,,,
Gravel,,,
Handrail,,,
Human,,,
Intersection,,,
Kid,,,
Kiosk,,,
Luggage,,,
Pavement,,,
Pillar,,,
Plant,,,
Ripple,,,
River,,,
Road,,,
School Bus,,,
Sculpture,,,
Snow,,,
Staircase,,,
Street,,,
Streetcar,,,
Subway,,,
Suitcase,,,
Table,,,
Terminal,,,
Train,,,
Transportation,,,
Tree,,,
Tree,,,
Trolley,,,
Vehicle,,,
Walkway,,,
Water,,,
Waterfront,,,